CustomerID,TotalRevenue,OrderCount,TotalQuantity,AvgOrderValue,FirstPurchase,LastPurchase,Country,IsRepeat
12346,77183.6,1,74215,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,United Kingdom,0
12347,4310.0,7,2458,23.681318681318682,2010-12-07 14:57:00,2011-12-07 15:52:00,Iceland,1
12348,1797.24,4,2341,57.97548387096774,2010-12-16 19:09:00,2011-09-25 13:13:00,Finland,1
12349,1757.55,1,631,24.076027397260273,2011-11-21 09:51:00,2011-11-21 09:51:00,Italy,0
12350,334.4,1,197,19.670588235294115,2011-02-02 16:01:00,2011-02-02 16:01:00,Norway,0
12352,2506.04,8,536,29.482823529411764,2011-02-16 12:33:00,2011-11-03 14:37:00,Norway,1
12353,89.0,1,20,22.25,2011-05-19 17:47:00,2011-05-19 17:47:00,Bahrain,0
12354,1079.4,1,530,18.610344827586207,2011-04-21 13:11:00,2011-04-21 13:11:00,Spain,0
12355,459.4,1,240,35.33846153846154,2011-05-09 13:49:00,2011-05-09 13:49:00,Bahrain,0
12356,2811.43,3,1591,47.65135593220339,2011-01-18 09:50:00,2011-11-17 08:40:00,Portugal,1
12357,6207.67,1,2708,47.38679389312977,2011-11-06 16:07:00,2011-11-06 16:07:00,Switzerland,0
12358,1168.06,2,248,61.47684210526315,2011-07-12 10:04:00,2011-12-08 10:26:00,Austria,1
12359,6310.03,4,1609,25.755224489795918,2011-01-12 12:43:00,2011-10-13 12:47:00,Cyprus,1
12360,2662.06,3,1165,20.63612403100775,2011-05-23 09:43:00,2011-10-18 15:22:00,Austria,1
12361,189.9,1,91,18.990000000000002,2011-02-25 13:51:00,2011-02-25 13:51:00,Belgium,0
12362,5226.23,10,2229,19.647481203007516,2011-02-17 10:30:00,2011-12-06 15:40:00,Belgium,1
12363,552.0,2,408,24.0,2011-04-11 13:29:00,2011-08-22 10:18:00,Unspecified,1
12364,1313.1,4,1506,15.448235294117646,2011-08-19 15:24:00,2011-12-02 10:22:00,Belgium,1
12365,641.38,2,174,29.153636363636362,2011-02-21 13:51:00,2011-02-21 14:04:00,Cyprus,1
12367,168.9,1,173,15.354545454545455,2011-12-05 16:48:00,2011-12-05 16:48:00,Denmark,0
12370,3541.94,4,2352,21.33698795180723,2010-12-14 12:58:00,2011-10-19 14:51:00,Cyprus,1
12371,1887.96,2,591,29.96761904761905,2011-10-11 10:43:00,2011-10-26 10:16:00,Switzerland,1
12372,1298.04,3,794,24.962307692307693,2011-02-16 12:46:00,2011-09-29 12:12:00,Denmark,1
12373,364.6,1,197,26.042857142857144,2011-02-01 13:10:00,2011-02-01 13:10:00,Austria,0
12374,742.9300000000001,1,342,22.513030303030305,2011-11-14 15:37:00,2011-11-14 15:37:00,Austria,0
12375,457.5,2,178,26.91176470588235,2011-09-02 14:23:00,2011-11-29 10:36:00,Finland,1
12377,1628.12,2,944,21.144415584415583,2010-12-20 09:37:00,2011-01-28 15:45:00,Switzerland,1
12378,4008.62,1,2529,18.30420091324201,2011-08-02 10:34:00,2011-08-02 10:34:00,Switzerland,0
12379,852.24,2,407,21.306,2011-06-22 16:32:00,2011-09-19 10:09:00,Belgium,1
12380,2724.81,4,1127,26.200096153846154,2011-06-07 09:49:00,2011-11-18 11:27:00,Belgium,1
12381,1845.31,5,808,21.21045977011494,2011-08-12 09:57:00,2011-12-05 12:44:00,Norway,1
12383,1850.56,5,1532,18.69252525252525,2010-12-22 14:28:00,2011-06-08 08:02:00,Belgium,1
12384,585.27,2,126,21.676666666666666,2011-08-10 11:23:00,2011-11-11 08:39:00,Switzerland,1
12386,401.9,2,354,40.19,2010-12-08 09:53:00,2011-01-06 12:37:00,Australia,1
12388,2780.66,6,1462,27.8066,2011-01-17 11:12:00,2011-11-24 12:30:00,Australia,1
12390,549.84,1,353,17.1825,2011-09-21 09:33:00,2011-09-21 09:33:00,Belgium,0
12391,439.66,1,293,4.72752688172043,2011-11-18 12:07:00,2011-11-18 12:07:00,Cyprus,0
12393,1582.6000000000001,4,816,24.728125000000002,2011-01-11 09:47:00,2011-09-28 15:41:00,Australia,1
12394,1272.48,2,819,47.12888888888889,2011-05-06 14:01:00,2011-10-07 08:08:00,Belgium,1
12395,3018.63,12,2118,19.350192307692307,2010-12-03 16:35:00,2011-11-20 15:21:00,Belgium,1
12397,2409.9,2,1263,19.126190476190477,2011-07-27 14:21:00,2011-11-04 09:52:00,Belgium,1
12398,1635.6599999999999,1,1394,19.24305882352941,2011-10-25 10:27:00,2011-10-25 10:27:00,Switzerland,0
12399,1108.65,4,1178,18.790677966101697,2011-03-23 09:42:00,2011-08-12 13:15:00,Belgium,1
12401,84.3,1,11,16.86,2011-02-09 13:50:00,2011-02-09 13:50:00,Belgium,0
12402,225.6,1,94,20.509090909090908,2011-01-20 13:49:00,2011-01-20 13:49:00,Belgium,0
12403,427.7,1,96,85.53999999999999,2011-10-21 10:51:00,2011-10-21 10:51:00,Denmark,0
